epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.6026,2.05147,3.17053,1.71134,0.24413,0.24509,0.19387,0.08334,2.06186,3.31776,1.99182,0.000471797,0.000471797,0.000471797
2,46.1779,1.94751,2.63954,1.6138,0.26056,0.25927,0.19261,0.09698,2.13887,3.39325,2.07467,0.000929357,0.000929357,0.000929357
3,68.6078,1.91468,2.51018,1.61037,0.35495,0.28301,0.19321,0.08545,2.12579,3.42435,2.06951,0.00136805,0.00136805,0.00136805
4,88.9171,1.92425,2.46698,1.64593,0.40529,0.34821,0.25977,0.12958,2.12181,3.15956,2.0652,0.00134412,0.00134412,0.00134412
5,111.884,1.88677,2.39985,1.62439,0.29867,0.37535,0.22085,0.09921,2.06308,3.2321,2.01466,0.00131582,0.00131582,0.00131582
6,132.76,1.85019,2.29328,1.56812,0.49604,0.37114,0.29931,0.15725,1.92841,2.72432,1.84616,0.00128753,0.00128753,0.00128753
7,154.772,1.82153,2.26922,1.56426,0.28831,0.38108,0.30463,0.16025,2.08534,2.98433,1.98213,0.00125923,0.00125923,0.00125923
8,174.767,1.80696,2.24254,1.57474,0.39016,0.38556,0.30765,0.14565,2.00026,2.54582,1.88549,0.00123094,0.00123094,0.00123094
9,195.735,1.7584,2.15023,1.53596,0.38781,0.43253,0.35574,0.17961,1.91837,2.39779,1.86709,0.00120265,0.00120265,0.00120265
10,215.586,1.7602,2.12268,1.56303,0.39368,0.42618,0.33433,0.1819,1.85537,2.50941,1.80911,0.00117435,0.00117435,0.00117435
11,234.712,1.72478,2.04869,1.4987,0.37102,0.42116,0.31845,0.16048,1.89993,2.60731,1.81118,0.00114606,0.00114606,0.00114606
12,256.334,1.70048,2.01978,1.50125,0.41461,0.41664,0.35309,0.18403,1.94384,2.4144,1.90314,0.00111776,0.00111776,0.00111776
13,275.795,1.66728,1.9685,1.48573,0.36272,0.43155,0.35228,0.1903,1.83459,2.33135,1.78931,0.00108947,0.00108947,0.00108947
14,296.268,1.68841,1.96058,1.46981,0.39174,0.44367,0.37533,0.20346,1.81652,2.37893,1.78005,0.00106118,0.00106118,0.00106118
15,316.558,1.66937,1.93878,1.48513,0.41321,0.45019,0.39674,0.21464,1.89721,2.43237,1.80512,0.00103288,0.00103288,0.00103288
16,337.345,1.66792,1.90005,1.4641,0.40193,0.4778,0.41623,0.22109,1.86785,2.20408,1.77603,0.00100459,0.00100459,0.00100459
17,359.332,1.61255,1.84337,1.42075,0.46032,0.43633,0.42953,0.23635,1.77826,2.23941,1.74762,0.000976293,0.000976293,0.000976293
18,379.883,1.60238,1.85861,1.42388,0.41507,0.41835,0.38522,0.19787,1.86643,2.39043,1.81558,0.000947999,0.000947999,0.000947999
19,401.779,1.61573,1.85254,1.44521,0.39552,0.49899,0.39433,0.21195,1.75667,2.07877,1.72523,0.000919704,0.000919704,0.000919704
20,421.73,1.59442,1.80865,1.42436,0.37761,0.51393,0.38087,0.20431,1.84437,2.26399,1.77522,0.00089141,0.00089141,0.00089141
21,443,1.59855,1.80173,1.42772,0.43146,0.51892,0.44146,0.24956,1.7169,2.11008,1.71593,0.000863116,0.000863116,0.000863116
22,462.711,1.55476,1.75624,1.40932,0.44438,0.5118,0.43655,0.23696,1.76126,2.06373,1.74545,0.000834822,0.000834822,0.000834822
23,482.743,1.57287,1.75052,1.41807,0.42791,0.51125,0.44808,0.25046,1.75212,2.07676,1.73052,0.000806528,0.000806528,0.000806528
24,503.859,1.52614,1.69508,1.37969,0.45952,0.49561,0.42037,0.23082,1.80953,2.05788,1.78617,0.000778233,0.000778233,0.000778233
25,523.249,1.51988,1.67826,1.38632,0.45333,0.56127,0.45439,0.24747,1.7387,2.09236,1.76587,0.000749939,0.000749939,0.000749939
26,544.256,1.50811,1.64769,1.36313,0.49641,0.4657,0.45987,0.24509,1.75157,2.0672,1.73355,0.000721645,0.000721645,0.000721645
